"Oblast podpory","Rok dotačního titulu","Číslo žádosti","Název projektu","Popis a způsob realizace akce/projektu","Stav žádosti","Celkové náklady","Celková požadovaná dotace celkem v roce 2018","Proplacená dotace (Kč)","Podíl celkové požadované dotace k celkovým nákladům","","",""
"Sportovní aktivity","2016","FHT/PHT/029626/2016","Podpora činnosti oddílu házené TJ Sokol Libčice","Oddíl házené TJ Sokol Libčice bude hrát již pátým rokem 2. ligu v házené. V sezóně 2014 se nám podařilo dokonce celou soutěž vyhrát a bojovali jsme o postup do celostátní 1. ligy. V uplynulém roce jsme skončili na celkovém 3 místě tabulky. Jedná se o velký sportovní úspěch malého města ve Středních Čechách, který ale přináší nemálo sportovních a finančních starostí., , Například 2. ligu je povinností hrát v hale. Protože halu v Libčicích nemáme, budeme tato utkání i tento rok hrát ve Sportovním areálu Hostivice-Břve. To představuje vyšší náklady na provoz (pronájem haly na tréninky, utkání, cestovné, náklady na řízení utkání a další). I díky dotaci od Středočeského kraje se podařilo připravit potřebné podmínky pro oddíl, který se odvděčil vynikajícími výkony. I tento rok tedy bojujeme o body ve 2. lize., , V aktuálním ročníku jsou muži umístěni opět na předních místech tabulky. Cílem je opět bojovat o 1. ligu. Spolu s tím je potřeba zajistit i potřebné finance. Potřebné podmínky pro oddíl bychom bez dotace jen stěží zabezpečili. V případě, že bychom znovu uspěli a byli bychom před rozhodnutím, zda okusit atmosféru 1. ligy, museli bychom zvážit i aktuální situaci rozpočtu oddílu. Již nyní je jisté, že bez případné dotace bychom 1. ligu ""neutáhli"". Sportovní cíl je v našich rukách, ten finanční snad společně také zajistíme.","neschváleno RK","325200","50000","","15.37515375","","","`"
"Kulturní aktivity","2016","FHT/PHT/030275/2016","Nákup hlikových branek","Realizací projektu dojde k pořízení nových fotbalových branek, které nahradí dosavadní staré ocelové brány, které jsou na pokraji své životnosti. Výhodou nákupu hliníkových branek je především vysoká pevnost, nízká váha a odolnost proti korozi. To jsou vlastnosti, které udělaly z hliníku primární materiál pro výrobu moderních fotbalových branek, splňujících poslední standardy. Díky nízké váze se s brankou z hliníku snadněji a především bezpečněji manipuluje. Kvalitně provedené branky z hliníku mají téměř neomezenu životnost. V současné době klub disponuje starými ocelovými brankami, které jsou v pokročilém stádiu, koroze. Brány jsou nebezpečné z hlediska případného nárazu hráčů na ocelové tyče, či tržným poraněním o korozní části branky., Cílem klubu je postupná obnova technického vybavení sportovního klubu Bakov nad Jizerou a budování vhodného a bezpečného prostředí pro výchovu mládeže. Přínosem projektu je, především zvýšení bezpečnosti. Hřiště kromě dvou mužstev dospělých využívají především, mládežnické celky. , ","neschváleno RK","49000","45000","","91.83673469","","",""
"Sportovní aktivity","2016","FHT/PHT/030276/2016","Bělské balónové hemžení 2016","14.ročník setkání horkovzdušných balónů v Bělé pod Bezdězem. Jedná se o 4 denní akci, která veřejnosti přibližuje létání horkovzdušnými balóny, kterých se tento rok sejde 20. Součástí této akce je též kulturně společenský program pro širokou veřejnost, který se koná v sobotu 18.6. 2016 a je završen Ohnivou show.","neschváleno RK","170000","40000","","23.52941176","","",""
"Pořízení vybavení pro sociální, kulturní, sportovní a vzdělávací aktivity","2016","FHT/PHT/030205/2016","Pořízení hmotného majetku pro TJ Tochovice"," Tělovýchovná Jednota Tochovice je největším spolkem v obci Tochovice, který podporuje sportovního ducha svých členů již 75 let. Součástí klubu je běžecký oddíl a několik mužstev, které hrají okresní fotbalové soutěže, klub má více než 200 členů. , Součástí areálu sportovního klubu jsou dvě travnaté plochy a kabiny pro hráče. Vedle areálu je nově vybudována víceúčelová asfaltová plocha. Areál slouží i pro soustředění fotbalových mužstev a odehrávají se zde významné akce, například SliviceCup, turnaj přípravek prvoligových celků. V prostorách areálu několikrát do roka pořádáme fotbalové turnaje, kam se sjíždí i ostatní týmy napříč celým středočeským krajem. Nás běžecký oddíl nás každoročně reprezentuje na Tochovickém krosu „Podrejžím“., V současné době má klub 4 fungující fotbalové týmy, z čehož 3 hrají středočeské soutěže. V našem klubu máme týmy Mladších žáků, A tým, B tým a Starou gardu. V současné době mámě 62 registrovaných členů FAČR a 180 členů celkem. , Potýkáme se s problémy usazování fanoušků a rodičů při pořádání turnajů. Rádi bychom pořídili lavičky a stoly pro fanoušky abychom zpříjemnili podmínky areálu. Naše branky jsou staré a z vlastní výroby klubu, v současné době už nejsou plně funkční. Jejich stáří je přes 30 a museli jsme je již několikrát opravovat a svařovat. Pro děti jsou nevyhovující a může dojít k vážnému kolapsu a zranění hráčů. Rádi bychom zajistili lepší podmínky pro naše členy a pro návštěvníky našeho areálu. Z tohoto důvodu bychom rádi požádali o příspěvek na úhradu hliníkových branek na fotbal a na pořízení laviček a stolů pro fanoušky. Celkové náklady na pořízení majetku činí 179 780,- Kč. ","neschváleno RK","179780","170000","","94.5600178","","",""
"Kulturní aktivity","2016","FHT/PHT/026449/2016","Uhrazení bilboardu ""Hornické pohádky"" umístěného v Praze-Lipence, u Strakonické rychlostní silnice","Uhrazení bilboardu ""Hornické pohádky"", kde bude uvedeno ""Věnováno k 800 let výročí města Příbram"" a informace ""Realiizováno s přispěním Středočeského kraje""  /spoluúčast 5% autora/umístěného v Praze- Lipence,  u Strakonické rychlostní silnice, Ke Štěrkovně I/4 výjezd směr na Strakonice za 5760,- Kč + DPH měsíčně , včetně nákladu na jeho zhotovení, které podléhá schválení Albatros Media a.s., bude na něm titulní stránka  Hornických pohádek /1.hrubá verze, která bude ještě upravována je v příloze/, uvedeni   autor a ilustrátor,   nakladatelství Albatros Media a.s., redakce Edika  a napsáno:Věnováno k výročí 800 let města Příbram a realizováno s přispěním Středočeského kraje nejlépe na dobu od 1.3.2016 do 30.6.2016, v případě obsazenosti bilboardu na volné 4 měsíce v r.2016., Celková uvedená cena je 29 633,- Kč /výlep plakátu, údržba reklamní plochy a fotodokumentace je součástí nájmu/. Pronájem bilboardu na Strakonické silnici zajišťuje Outdoor akzent s.r.o., Štětkova 1638/18, 140 00 Praha 4, tel.: +420 221 475 158, web:www.outdoor-akzent.cz., file:///C:/Data/Downloads/Obal_layout01%20(1).pdf","neschváleno RK","29633","28133","","94.93807579","","",""
"Sportovní aktivity","2016","FHT/PHT/026473/2016","Přeplavba kanálu La Manche","Kanál La Manche se chystám přeplavat v červenci letošního roku, a to prostřednictvím britské asociace, která přeplavby pořádá. V minulosti se mi již povedlo přeplavat Gibraltarskou úžinu a mám 15 let zkušeností s dálkovým plaváním. Projekt bude realizován převážně z mých vlastních finančních prostředků.","neschváleno RK","170000","60000","","35.29411765","","",""
"Kulturní aktivity","2016","FHT/PHT/026532/2016","Mlýn všem","Ve mlýně jsme druhý rok a stále zde něco pořádáme.Letos  v rámci blížícího se 150 výročí narození mlynáře Václava Čecha,150let příchodu šlechticů z Grojů, dále nadcházejícímu 100 výročí 1.světové války pořádáme několik akcí. Začínáme 27.5.2016 besedou ,28.5.2016 muzejní noc,25.6.2016 150výročí obou rodů, od 9.7.2016-16.7.2016 Worschopy ručních prací a pokračujeme až do 30.11.2016","neschváleno RK","250000","200000","","80","","",""
"Podpora činnosti","2016","FHT/PHT/026566/2016","Senior s Domácím Andělem","Projekt Nadačního fondu Domácí Anděl s názvem ""Senior s Domácím Andělem"" je určen pro potřeby domova seniorů ve Středočeském kraji. Zaměřujeme se na monitoraci pacientů v domácím prostředí s využitím postupů telemedicíny. Tento způsob léčby rozšiřuje možnosti komunikace mezi lékařem a pacientem, který je v domácím prostředí a umožňuje, aby ošetřující lékař měl k dispozici aktuální údaje o stavu pacienta, a to zejména u pacientů chronicky nemocných, aniž by za pacientem musel docházet, případně aniž by byla nutmá návštěva pacienta v ordinaci lékaře, či jeho hospitalizace. Nadační fond Domácí Anděl připravil projekt ""Senior s Domácím Andělem"" včetně nabídky spolupráce při zajištění finančního krytí projektu pro domov seniorů TGM v Berouně, který je příspěvkovou organizací zřízenou Středočeským krajem. V rámci tohoto projektu zajistíme vzdálenou monitoraci lékařem vybraných pacientů v prostředí tohoto domova seniorů. V případě, že pacient bude vykazovat zhoršený nebo nestabilní stav, bude o tom neprodleně informován ošetřující zdravotnický personál, či lékař. Lékař i ošetřující personál má zabezpečenývzdálený přístup do aplikace dohledového centra, kde na kartě pacientamůže sledovat jeho aktuální zdravotní stav. Přínosy tohoto projektu vidíme jak v oblasti medicínské, organizační, tak i ekonomické, jelikož se sníží počet aktuálních návštěv lékaře, hospitalizace, rehospitalizace a sníží se náklady na dojezd pacientů do specializovaných ambulancí. Finanční prostředky, které bychom pomocí dotace získali, bychom použili na financování monitorace lékařem vybraných pacientů v Domově seniorů TGM v Berouně, ve Středočeském kraji po dobu šest měsíců nepřetržitě, včetně veškerých nákladů na pronájem přístrojů.","neschváleno RK","306000","199800","","65.29411765","","",""
"Pořízení vybavení pro sociální, kulturní, sportovní a vzdělávací aktivity","2016","FHT/PHT/029927/2016","Obnova ochranných sítí dětského hřiště a sportovního areálu"," Obec má ve vlastnictví dětské hřiště a sportovní areál již deset let, postupem času vlivem povětrnostního počasí dochází k rozpadu ochranných sítí kolem jednotlivých částí hřiště, sítě jsou na hranicí životnosti a jsou nedílnou součástí areálu při jeho využívání našimi dětmi a mládeží. Ochranné sítě budou dodány včetně dopravy a montáže odbornou firmou.  Realizace projektu umožní bezpečné využití stávajícího hřiště nejmenším dětem v doprovodu rodičů i starším dětem a mládeži při různých hrách, sportovních soutěží a dalších dovednostech. Hřiště i sportovní areál je hojně využíván jednotlivými dětmi, Základní a mateřskou školou, Dětským klubíkem sdružující nejmenší věkovou skupinu dětí 2 - 6 let. Obnova areálu ochrannými sítěmi zaručí bezpečnost i atraktivitu hřiště sdružující se zde právě touto věkovou skupinou. Záměrem projektu je obnova současného hřiště novými ochrannými sítěmi. Hřiště je výhodně umístěno v centru obce mezi zástavbou rodinných domů, v blízkosti školy, obecního úřadu. V blízkém okolí by rovněž měla brzy vzniknout oblast výstavby nových rodinných domů. Pozemky určené pro realizaci - parc. čísla 1097/1, 1097/2, 1097,3, 1097/4 jsou v majetku obce. Současné využití hřiště je věkovou skupinou 4 - 18 let. ","neschváleno RK","126612","100000","","78.98145515","","",""
"Kulturní aktivity","2016","FHT/PHT/026606/2016","KOSOHORSKÝ BODLÁK 2016","Regionální festival country a folkové hudby. Jedná se již o šestý ročník setkání cca 10 kapel z regionu Středočeského kraje, který probíhá formou čtyřiceti minutových vystoupení. Festival si klade za cíl potěšit všechny příznivce těchto žánrů. Dalším důležitým smyslem festivalu je nabídnout příležitost amatérským skupinám zahrát si na plně technicky vybaveném pódiu před větším počtem diváků. Večer je pak zakončen countrybálem, kde se prezentují místní taneční skupiny a tanečníci country tanců. Za dobu svého působení již tento festival získal řadu svých příznivců. Několik let má festival i své webové stránky http://kosohorsky-bodlak.webnode.cz/. Dotace by byla použita především na kvalitnější ozvučení festivalu a vystoupení kapel.","neschváleno RK","30000","15000","","50","","",""
