"Oblast podpory","Rok dotačního titulu","Číslo žádosti","Název projektu","Popis a způsob realizace akce/projektu","Stav žádosti","Celkové náklady","Celková požadovaná dotace celkem v roce 2018","Proplacená dotace (Kč)","Podíl celkové požadované dotace k celkovým nákladům","","",""
"Kulturní aktivity","2016","FHT/PHT/030295/2016","Co dokážu s handicapem","Projekt „Co dokážu s handicapem“ je součástí oslav desátého výročí naší organizace, kde chceme ukázat, že svého snu je možné docílit i přes postižení. Proto jsme se rozhodli uspořádat kulturní akci, kde vystoupí umělci s handicapem. V rámci projektu vystoupí v Městském Tylově divadle v Kutné Hoře kapela The Tap Tap - www.thetaptap.cz. Projekt ""Co dokážu s handicapem"" má za cíl ukázat lidem, že i s handicapem se dá plnohodnotně žít. Projekt je určen nejen pro členy naší organizace, kteří se pravidelně účastní našich aktivit, ale též pro širokou veřejnost.""Našim"" dětem může tento projekt přinést velkou motivaci do života, že i s handicapem se dá dosáhnout velkých cílů. Pro širokou veřejnost má projekt ukázat, že není třeba na osoby s handicapem pohlížet s lítostí, ale jako na sobě rovné. Neméně důležitým cílem projektu je integrace prostřednictvím kulturní akce. Často se osoby s handicapem neodhodlají vyrazit do divadla, protože se ostýchají zkoumavých pohledů. Čím více bude aktivit, kde se budou setkávat zdraví lidé s lidmi s handicapem, tím více se budou lidé s handicapem stávat běžnou součástí života. A to je velmi důležitý aspekt naší akce.  Podpora se týká zejména osob s handicapem - 35 našich členů. Předpokládáme návštěvnost 150 - 200 osob. Rádi bychom v rámci projektu aktualizovali dokument z roku 2014 o nové činnosti naší organizace (pohybové centrum, prázdninový pobyt, benefiční festival). Dokument by byl též na této akci promítnut, aby veřejnosti přiblížil činnost Cesty životem bez bariér. Přestože kapela The Tap Tap dává na akce podobného charakteru slevu z honoráře, je i tak požadovaná částka 51 600 Kč velmi vysoká a není možné financování všech nákladů akce pouze ze vstupného, aby projekt splnil výše očekávaný cíl integrace. ","schváleno RK","86400","35000","","40.50925926","","",""
"Sportovní aktivity","2016","FHT/PHT/029920/2016","7.závod TOI TOI CUP 2016, Mezinárodní závod pro kategorii Muži Elite+U23 a ženy, Národní závod pro kategorii žáci, kadeti, kadetky, junioři a Masters, 5. Velká cena Milovic pod záštitou města Milovice","Mezinárodní cyklokrosové závody vypsané Mezinárodní cyklistickou federací - UCI a Agenturou Cyklistika","schváleno RK","220000","70000","","31.81818182","","",""
"Kulturní aktivity","2016","FHT/PHT/027199/2016","Kladenský TV zpravodaj","Jedná se o pravidelný měsíční TV magazín o událostech a dění města Kladna, který vysíláme na kabelové televizi UPC ČR. Tento pořad propaguje život největšího města středočeského regionu, informuje o akcích a událostech a je pozvánkou pro obyvatele z celého kraje do našeho města na nejrůznější kulturní, sportovní a společenské akce a významně podporuje tedy i cestovní ruch našeho města. ","schváleno RK","360000","180000","","50","","",""
"Kulturní aktivity","2016","FHT/PHT/030277/2016","Hudební odpoledne pro rodiče s dětmi","Předmětem žádosti je uspořádání druhého ročníku hudebního odpoledne pro všechny věkové kategorie. Loňského programu se i přes velká vedra zúčastnilo více než sto návštěvníků z řad místních i z okolních obcí. Díky vysokým teplotám v loňském roce odřeklo účast poměrně dost návštěvníků, ale i tak měla akce značný úspěch. A zejména díky velkému zájmu ze strany účastníků letos hasiči uspořádají druhý ročník. , Program začne ve 14 hodin v prostorách sportovního areálu v Kamberku, k tanci i poslechu budou hrát oblíbené hudební skupiny, bude připraveno bohaté občerstvení a doprovodný program pro děti. Posezení bude zapůjčeno ze sousední obce, stany jako ochrana proti slunci od soukromé společnosti. , Vzhledem k umístění obce Kamberk na hranici Středočeského a Jihočeského kraje a nedalekého kraje Vysočina se opět předpokládá účast návštěvníků z různých krajů.","schváleno RK","52720","30000","","56.90440061","","",""
"Kulturní aktivity","2016","FHT/PHT/029887/2016","Oslavy obce Hrdlořezy","Jak již název projektu napovídá („Oslavy obce Hrdlořezy“), cílem bude uspořádat kulturní a společenskou akci na oslavu kulatého výročí vzniku obce Hrdlořezy. První písemná zmínka o obci pochází z roku 1406 a letos je to tedy již 610 let., , Oslavy započnou v pátek 26. 8. 2016 zahájením výstavy historických fotografií obce a prezentací činnosti svazků obce (včelaři a dobrovolní hasiči). Dále bude možné zúčastnit se vyjížďky kočárem po obci a pro děti bude připraven zábavný podvečer. Další den se bude odehrávat hlavní celodenní kulturní program, který bude zohledňovat požadavky všech věkových skupin obyvatel. Pro děti bude připraven skákací hrad, dětské herní prvky, tvořivé dílny, projížďka kočárem nebo vystoupení Furiantů. V odpoledních hodinách začne program pro dospělé, a to představením historických vozů a následným vystoupením country kapely Pohodáři, která bude vystřídána kapelou SEVEN a Výkend Rock. Součástí programu bude i slavnostní ohňostroj. Oslavy budou ukončeny 28. 6. 2016., , Plánované oslavy obce přispějí zejména k zvýšení zájmu veřejnosti o historii obce a kulturní dění a povedou k většímu zapojení občanů do života obce. Akce je ideálním prostředkem pro sbližování nejen místních obyvatel a setkávání rodáků. Kulturním programem budou uspokojeny požadavky občanů obce v oblasti společensko-kulturního vyžití. , , V rámci projektu budou řešeny následující aktivity:, 1)	Zajištění kulturního programu – objednávky kapel (country Pohodáři, SEVEN a Výkend Rock), produkční a umělecké agentury (zajištění pódia, parketu, zvuku a osvětlení akce), objednávky týkající se zábavy pro děti (kočár, skákací hrad, tvořivé dílny, dětské soutěže vystoupení Furiantů), 2)	Propagace akce – zajištění propagace v regionálních médiích, rádiu, novinách. Dále budou vytvořeny poutače (plakáty), pozvánky sousedících obcí, pozvánky do médií okolních obcí., 3)	Zajištění upomínkových předmětů, 3)	Přípravné práce – zajištění vhodného zázemí pro realizaci akce (WC, elektřina a další), ","schváleno RK","150000","75000","","50","","",""
"Sportovní aktivity","2016","FHT/PHT/030106/2016","Tennis Arena Kids Tour","Série tenisových turnajů pro děti do 12ti let. Naše společnost Tennis Arena s.r.o. systematicky podporuje tenisové mládí. Za tímto účelem připravujeme pro rok 2016 třetí ročník Tennis Arena Kids Tour – rozsahem, propagací i úrovní cen největšího a nejprestižnějšího projektu tohoto typu v České republice. Vítězové poté absolvují týdenní tréninkový kemp v prestižní tenisové akademii na Floridě. Projektem chceme podpořit rozvoj mladých talentů, zvýšit jejich sportovní motivaci v konkurenci jiných lákadel a snad i odhalit nového Berdycha či Kvitovou., Děkuji","schváleno RK","450000","60000","","13.33333333","","",""
"Kulturní aktivity","2016","FHT/PHT/030007/2016","Americké jaro 2016","Ve Středočeském kraji se letos v rámci festivalu Americké jaro 2016 uskuteční tyto koncerty:, 12.5.2016, 19:00, Yossi Arnheim (Izrael, flétna) a Alice Fiedlerová (ČR, klavír), zámek v Nelahozevsi, 21.5.2016. 21:00, Sullivan Fortner (USA, klavír), Václav Pálka (ČR, bicí) a Petr Korman (SR, kontrabas), Černošice, 27.5.2016. 19:00, , Sullivan Fortner (USA, klavír), Václav Pálka (ČR, bicí) a Petr Korman (SR, kontrabas) Dobříš, 3.6.2016, 18:00	, Kelley Hollis (USA, soprán) a Alice Fiedlerová (ČR, klavír), Zlonice., , Jedním z hlavních cílů festivalu Americké jaro je podporovat kulturní život mimo velká města. Festival Americké jaro je dnes už velmi rozšířený projekt česko-americké kulturní spolupráce, který se koná prakticky ve všech krajích České republiky. Zaměřuje se především na koncertní činnost, také pořádá přednášky, výstavy mladých výtvarných umělců a promítaní dokumentárních filmů. Přínos festivalu Americké jaro 2016 ve Středočeském kraji je především na úrovni duchovního a kulturního obohacení obyvatel. Z hodnocení Amerického jara v předchozích letech je vidět široký zájem místního obecenstva a tedy umělecký i společenský úspěch. Festival AJ zajišťuje umělce z USA, eventuelně z ČR, jejich dopravu a ubytováni a celkovou propagaci AJ. Místní pořadatelé zajišťují konání akce v místě. Koncem roku 2015 se festival Americké jaro osamostatnil v tom smyslu, že byla ustavena nová nezisková organizace, Ústav pro česko-americké vztahy, z.ú., jehož hlavním programem je právě festival Americké jaro. Organizační vedení festivalu přebírá mladší generace, ale personální i programová kontinuita zůstává zachována., ","schváleno RK","100000","60000","","60","","",""
"Kulturní aktivity","2016","FHT/PHT/029850/2016","Den s historickou technikou 23. 4. 2016","Předmětem tohoto projektu je příprava a realizace výstavní, společenské a zábavní akce , pod názvem „Den s historickou technikou aneb program pro celou rodinu na sobotu 23. 4. 2016“. , Cílem tohoto projektu je připravit obsahově hodnotnou výstavní akci, jejímž základem bude , historická technika, převážně dopravní (kola, motocykly, osobní auta, traktory, užitková a vojenská, vozidla). Vystavovat se ale budou i další předměty jako zemědělské stroje a nářadí, přístroje z , provozu domácností, vybavení řemeslnických dílen a další drobné předměty připomínající doby , dávno i nedávno minulé. Nedílnou součástí akce bude doprovodný program, jehož kvalitní náplň , považujeme za velmi důležitou.","schváleno RK","42700","27700","","64.87119438","","",""
"Sportovní aktivity","2016","FHT/PHT/029852/2016","Oslavy k výročí 130 let vzniku dobrovolných hasičů v Postupicích","Obec Postupice uspořádá dne 21. května 2016 od 8:30 hodin pod vedením Sboru dobrovolných hasičů Postupice oslavy k výročí 130 let od vzniku místního sboru dobrovolných hasičů. Při této příležitosti bude pořádána v Postupicích okrsková soutěž v požárním sportu v areálu fotbalového hřiště a nově vybudovaného Hasičského cvičiště Plajchy. V rámci programu oslav, kterým bude provázet moderátor, vystoupí kapela Sebranka a Mažoretky ZUŠ Vlašim. Sportovní den bude zakončen slavnostním vyhlášením výsledků a oceněním nejlepších týmů a jednotlivců v hasičském soutěžení. Výročí bude zaznamenáno i do upomínkových plaket.","schváleno RK","39800","25000","","62.81407035","","",""
"Kulturní aktivity","2016","FHT/PHT/029842/2016","Maturitní ples","Příprava sálu-sjednání smlouvy o pronájmu sálu, výzdoba sálu, ozvučení, sjednání podmínek vystoupení - kapely, předtančení, různých zábavných programů a konferenciérů, doprava žáků a rodičů.","schváleno RK","70000","50000","","71.42857143","","",""
