"Oblast podpory","Rok dotačního titulu","Číslo žádosti","Název projektu","Popis a způsob realizace akce/projektu","Stav žádosti","Celkové náklady","Celková požadovaná dotace celkem v roce 2018","Proplacená dotace (Kč)","Podíl celkové požadované dotace k celkovým nákladům"
"Rekonstrukce nebo oprava movitého majetku","2017","FHT/NŽK/033166/2017","Oprava pláště střechy zimního stadionu","Dne 16.6.2016 došlo vlivem silného krupobití k prosekání střešní fólie na střeše zimního stadionu v Nymburce, čímž došlo k masivnímu protékání  na ledovou plochu. Střecha musela být okamžitě opravena a financování bylo hrazeno pojišťovnou vlastními zdroji a částečně z regionálního rozvoje.  V průběhu zimy začalo zatékat do tělocvičny zimního stadionu. Stav se neustále zhoršoval a následně bylo zjištěno, že i tato část střechy byla poškozena kroupami. Bylo nutné, vzhledem k zachování provozu a interiéru tělocvičny přistoupit k opravě celé střechy. Faktura za opravu činí 401.184 Kč viz příloha. Pojišťovna uhradila 141.675 Kč.","neschváleno RK","401184","239450","","59.68582994"
"Činnosti nebo aktivity v oblasti kultury","2017","FHT/PHT/030641/2017","IV. ročník konference na podporu regionánlního cestovního ruchu ve Středočeském kraji","Konference navazuje na III. ročník ze 17.5.2016 a  letošní konference se soustřeďuje na 2 nosná témata. První část konference s názvem Jak dál s cestovním ruchem v kraji se zaměří na koordinaci činnosti destinačních managementů kraje, problematiku této spolupráce a vytváření spoleřných turistických produktů kraje. , Druhá část se bude zabývat široce využitím kulturních aktivit a kulturního dědictví kraje pro rozvoj cestovního ruchu. Od venkovských sakrálních staveb až po organizaci kulturních akcí a mezinárodních festivalů., Záštitu nad konferencí převzala paní hejtmanka Středočeského kraje. O záštitu jsme rovněž požádali paní ministyni pro místní rozvoj a pana ministra kultury.","neschváleno RK","150000","120000","","80"
"Činnosti nebo aktivity v oblasti kultury","2017","FHT/PHT/030633/2017","Tvoříme pro radost","S rekonstrukcí budovy MěDDM Vlašim vznikla v přízemí velice pěkná výstavní síň, která neměla zatím to správné využití. Vzhledem k tomu, že se nám podařilo ve školním roce 2016/2017 do funkcí vedoucích zájmových kroužků v oblasti výtvarné (keramika, malování, šikulové a jiné) sehnat vedoucí na vysoké úrovni, tak se tito rozhodli ty nejlepší práce průběžně vybírat a začátkem června uspořádat velkou výstavu ve výše uvedených prostorách. Zajistíme  propagaci a výstava bude zpřístupněna veřejnosti do konce listopadu 2017, kdy budou vybrány nejlepší práce, které budou odměněny. Věříme, že tímto se nejen pochlubíme s šikovnými dětmi, ale i zájem pro následující období bude podstatně větší a my budeme hledat další nové talenty v oblasti kultury a umění a jejich zapojení ve společnosti bude smysluplné.","neschváleno RK","40000","35000","","87.5"
"Činnosti nebo aktivity v oblasti kultury","2017","FHT/PHT/030643/2017","Tisk sborníku Hodovní zvyklosti a stolové hry doby Jiřího z Poděbrad","Jedná se o tisk sborníku ""Hodovní zvyklosti a stolové hry doby Jiřího z Poděbrad"" a výroba památečních pohledů.","neschváleno RK","50500","45000","","89.10891089"
"Činnosti nebo aktivity v oblasti kultury","2017","FHT/PHT/030654/2017","45. ročník festivalu Banjo Jamboree","Banjo Jamboree je nejstarší evropský hudební bluegrassový festival a jeho již 45. ročník má jako hlavní cíl  představit veřejnosti českou a zahraniční bluegrassovou špičku ve třech koncertech během dvou dnů (26 hudebních skupin), umožnit muzikantům neformální setkání na večerních a nočních jam-sessionech a rodinám strávit víkend v příjemném prostředí s akustickou hudbou.","neschváleno RK","370000","30000","","8.10810811"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2017","FHT/PHT/030661/2017","Vydání 25. ročníku Regionálního adresáře firem a institucí 2018","Tento prezentační katalog firem v regionu Příbram vydává Okresní hospodářská komora v, Příbrami již dvacet čtyři let, prakticky od jejího založení. Práce na katalogu se rok od roku vyvíjí a, zkvalitňuje. V současné době obsahuje cca 600 aktualizovaných zápisů firem z regionu Příbram., Obsahuje jak abecední rejstřík firem, tak oborový rejstřík dle předmětu podnikání (v češtině,, němčině, angličtině, takže je použitelný i pro zahraniční prezentaci) a seznam členských firem, OHK Příbram. Pravidelně aktualizujeme i kontakty na důležité instituce, v regionu., I v minulých letech jsme jednu z hlavních barevných stránek věnovali prezentaci Krajského úřadu, Středočeského kraje, s čímž počítáme i v následujícím katalogu pro rok 2018. Pravidelně po, vytištění katalogu předáváme do kanceláře hejtmana cca 20 ks výtisků k možné prezentaci, našeho regionu, kterou můžete využívat např. i při Vašich zahraničních cestách pro podnikatelské, kontakty., Adresář dále obsahuje kromě základních informací důležitá data firem včetně e-mailových adres,, mobilních telefonů a www stránek, popřípadě loga firem. V současné době již začínáme na, katalogu aktivně pracovat, tak, aby uzávěrka dat proběhla k 15. září 2017. Poté začne probíhat, předtisková příprava, která je právě nejvíce finančně náročná., Vytištěná verze katalogu bude distribuována do konce roku 2017.","neschváleno RK","277000","95000","","34.29602888"
"Činnosti nebo aktivity v oblasti kultury","2017","FHT/PHT/030668/2017","První Republika","Pro letní sezonu 2017 jsme připravili tematickou výstavu zabývající se životem za První republiky. Naším cílem je v expozici vytvořit dobovou atmosféru jako když ""Pradědeček pozval prababičku do kina"". Budou zde vystaveny historické úbory a představen styl plný filmových polibků Oldřicha Nového. Velká část expozice nebyla doposud nikdy dostupná veřejnosti, neboť je uložena v depozitářích soukromých sběratelů, filmových archivů a fundů Barrandovských atelierů.","neschváleno RK","3900000","200000","","5.12820513"
"Činnosti nebo aktivity v oblasti kultury","2017","FHT/PHT/030669/2017","Joseí Lada","K výročí 130-ti let od narození a 60 let od úmrtí Josefa Lady, připravuje v roce 2017 Galerie Tančící dům unikátní výstavu více než 300 autoroých originálních obrazů, kreseb a nikdy neprezentovaných osobních věcí ze života, včetně rekvizit a fotografií. Bude se jednat o největší výstavu Ladovi tvorby v hlavním městě za 10 let. Majitel Tančícího domu k této příležitosti uvolnil trezorové místnosti ve druhém podzemním pod|aží, a tak Galerĺe Tančící dům bude moci rozšířit své prostory téměř o 200 m2, kde budou vystavena ta nejcennější díla.","neschváleno RK","3900000","200000","","5.12820513"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2017","FHT/PHT/030700/2017","Škola v přírodě","Malotřídní škola, pořádáme školu v přírodě. Letos ve Starých Splavech. Rádi bychom umožnili účast dětem ze sociálně slabších rodin. Ve škole v přírodě bude probíhat výuka dle ŠVP Zdravá škola. Navštívíme kulturní památky v blízkém okolí, projedeme se lodí po Máchově jezeru. V rámci tělesné výchovy využijeme místní aquapark. Nově je nutná účast zdravotníka.","neschváleno RK","81567","73410","","89.9996322"
"Rekonstrukce majetku v souvislosti se sociální, kulturní, sportovní a vzdělávací činností","2017","FHT/PHT/030711/2017","Rekonstrukce havarijního stavu sociálního zařízení staré budovy Mateřské školy Mukařov. "," Obec Mukařov v okrese Praha - východ je dynamicky se rozvíjející obec tvořená třemi katastry Srbínem, Žernovkou a Mukařovem. K  datu 24.3.2017  má 2370 trvale hlášených obyvatel. Celkový počet občanů žijících na území obce včetně chatařů je  mnohem vyšší a v letním období dosahuje až  3500 obyvatel. To klade nároky na uspokojování občanských potřeb ve všech oblastech  infrastruktury, jako např. rozšiřování vodovodu, kanalizace a zajišťování oprav místních komunikací. Obdobně je tomu i v oblasti předškolní a školní výchovy. Ještě v roce 2010 měla obec Mukařov, která je školským obvodem pro dalších 5 spádových obcí k dispozici jen jednu budovu základní školy z šedesátých let a jednu budovu mateřské školy z let sedmdesátých. Od té doby do současnosti se podařilo zastupitelům obce s využitím dotace z ministerstva financí, rozšířit výukové prostory základní školy o novou budovu s kapacitou 240 žáků a modernizovat původní školní jídelnu na kapacitu 700 strávníků. Stará mateřská škola byla rozšířena o l třídu rekonstrukcí bývalé kotelny za přispění dotace Stč.kraje SFROM, a o 2 třídy výstavbou nového objektu s využitím dotace ministerstva školství a tělovýchovy. Celkový počet tak dosáhl v 5 třídách mateřské  školy  122 míst. ,      K docílení požadované úrovně ubytování dětí v předškolním procesu výchovy, zbývá obci Mukařov provést postupnými kroky  rekonstrukci původního objektu mateřské školy s kapaciou 44 dětí ve dvou třídách. Z hlediska potřeb se tak stává současný havarijní stav dětských umýváren, dětských WC a kuchyněk pro výdej stravy důležitou prioritou. Staré pozinkované potrubní rozvody ze 70. let jsou z části zarostlé kamencem a jejich průchodnost pro přítok vody omezen. Odpadní litinové gule v podlahách umýváren netěsní a jsou zdojem trvalého zápachu. Potrubní odpadní svody v podlahách prorezavělé a betony s pochozí dlažbou nad nimi prosáklé močovinou. Některé původní litinové odpadní potrubí stoupaček je v místě  napojení dětských WC u podlah popraskané a je rovněž zdrojem zápachu. Dětská umyvadla a WC mísy jsou  staré, bez lesku politur, keramické obklady stěn i dlažba v umývárnách a kuchyňkách původní z doby výstavby, místy popraskané, zašlé a značně opotřebené. Provedení nezbytně nutných oprav sanací zdí a podlah je  omezeno na krátkou dobu po kterou lze provoz MŠ přerušit. Vzhledem k nemožnosti přesunout výuku do jiných náhradních prostor, rozhodlo zastupitelstvo obce Mukařov na svém lednovém zasedání, postupovat při havarijní opravě etapovitě tak, aby stará budova školky nebyla v odstávce více jak  dva měsíce, což lze technicky zajistit jen v období letních prázdnin. ,      Plánovaná první etapa v roce 2017 proto zahrnuje pouze opravu dětských umýváren a WC v I. patře a přízemí původní budovy. Ty vykazují havarijní poškození a hrozí jejich uzavření z důvodů nevyhovujícího hygienického stavu. Zdroj vody je z předchozích oprav  přiveden PVC potrubím ze stávajících ležatých rozvodů hlavního řadu do prostor zamýšlené opravy. Na něj bude v rámci rekonstrukce napojen nově vybudovaný rozvod  k ohřívačům teplé vody, dále k splachovačům WC a umyvadlovým bateriím. Samotné ohřívače stavební firma přesune do místností úklidových komor, aby nebyly součástí dětských hygienických zařízení. Stávající vodovodní ocelové potrubí, litinové stoupačky ve stěnách a odpadní potrubí v podlahách budou vybourány a nahrazeny novými plastovými. Obdobně bude postupováno i při výměně zařizovacích předmětů, tj. vodovodních bateri, umyvadel a WC. Současně s instalatérskými pracemi započnou  i práce stavební, spočívající ve vybourání původních rozvodů, vysekání ve zdivu tras pro nové trubní plastové vodovodní vedení a odpadní potrubí. Budou osekány omítky pod stávajícími keramickými obklady, vybourány podkladní nasáklé betony i s dlažbou a zhotoveny  betony, obklady a dlažby z nových  materiálů. Části potrubí a některých odpadních stoupaček, které nebude možné vzhledem ke konstrukci budovy zazdít do příček, budou obloženy sádrokartonem na ocelové kotvení. Na provedení  havarijní opravy byla vyhotovena jednoduchá projektová dokumentace, která nevyžaduje stavební povolení odboru – Stavební úřad MěÚ Říčany. Byly zpracovány položkové rozpočty na instalatérské a stavební práce ve výši 754.125,-Kč s DPH. Vzhledem k možnostem rozpočtu obce  Mukařov a naléhavosti provést alespoň částečnou opravu havarijního stavu sociálního zařízení staré MŠ, podáváme žádost o individuální účelovou dotaci ve výši 200.000,-Kč z rozpočtu Středočeského kraje ze Středočeského Fondu hejtmana a zmírnění následků živelních katastrof, tématické zadání - Podpora hejtmana, oblast podpory - Rekonstrukce majetku v souvislosti se sociální, kulturní, sportovní a vzdělávací činností,  na akci „Havarijní opravy sociálního zařízení staré budovy MŠ v obci Mukařov U Zelené cesty 200“. V případě poskytnutí dotace, budou z této částky pokryty částečné náklady realizované akce. Zbývající finanční prostředky ptřebné k dofinancování nákladů havarijní opravy  uhradí obec Mukařov.  Podání žádosti o individuální účelovou dotaci z rozpočtu Středočeského kraje ze Středočeského Fondu hejtmana, schválilo zastupitelstvo obce na svém 28. zasedání konaném dne 18.4.2017 pod čískem usnesení 5/28/2017. , Při  realizaci havarijní opravy bude postupováno v souladu s interní směrnicí o zadávání veřejných zakázek malého rozsahu, která byla vydána obcí Mukařov a schválena Zastupitelstvem obce Mukařov usnesením č. 2/11/2015 dne 15.9.2015, v souladu s Pravidly pro poskytování účelových dotací a darů  z rozpočtu Středočeského kraje ze Středočeského Fondu hejtmana a zmírnění následků živelních katastrov č.j. 036981/2017/KUSK a Metodickým pokynem k podávání žádostí o individuální účelové dotace prostřednictvím veřejnoprávní smlouvy a o dary podle  výše uvedených ""Pravidel...""., , , ,                                                                                               Dr. Jaroslav Šalda ,                                                                                      asistent pro dotace a investice,                                                                                                 obec Mukařov ","neschváleno RK","754125","200000","","26.52080225"
