"Oblast podpory","Rok dotačního titulu","Číslo žádosti","Název projektu","Popis a způsob realizace akce/projektu","Stav žádosti","Celkové náklady","Celková požadovaná dotace celkem v roce 2018","","Podíl celkové požadované dotace k celkovým nákladům"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/035881/2018","Rekondiční pobyt diabetiků","Formou přednášek, cvičení, sportovní činností působit na osoby s diabetem, aby se dobře vyrovnaly s problémy, souvisejícími s toutu nemocí","neschváleno RK","200000","30000","","15"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/033328/2018","Knižní vydání historie obce Heřmaniček a okolí od doby prvně písemně uvedené do r. 1945","Knižní vydání sepsané historie Obce Heřmaničky a okolí s fotografiemi tj. grafická úprava provedená grafikem v tiskárně a výtisk v tiskárně dle nabídky. Obsah knihy: Historie jednotlivých osad, křížky, kapličky, historické objekty: školy, špýchary, domy, stodoly. Památné stromy Výpisy z matrik, kdo bydlel v jednotlivých domech. Staré příběhy. Příloha: Výtah z Berní ruly kraje Vltavského. Seznam majitelů panství Smilkovského zámku. Seznam padlých vojáků z 1. světové války a jejich příběhy. Seznam obětí Druhé světové války, konec války v popisu pamětníka.","neschváleno RK","40240","38228","","95"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/033333/2018","nezávislý sportovní klub SPORTOVNÍ CHŮZE PRAHA z.s.","Atletické závody ve sportovní chůzi o pohár starosty města Milovice zařazené do mistrovství ČR družstev Českého atletického svazu s mezinárodní účastí. ","neschváleno RK","245000","25000","","10.20408163"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/033345/2018","3. Myslivecko-rybářská slavnost","V roce 2018 nás čeká dnes již tradiční Myslivecko – rybářská slavnost, která se koná ve sportovně-rekreačním areálu u Sadoňského rybníka v Rožmitále pod Třemšínem. První ročník se konal 1. Října 2016, kdy hlavním iniciátorem nápadu spojit výlov tohoto rybníka se slavností pro širokou veřejnost byla místní organizace Českého rybářského svazu. , Místní rybářská organizace je v posledních letech velice aktivní zejména v práci s dětmi a mládeží. Pro děti pořádá rybářské závody, exkurze, výlety, rybářský tábor - to vše spojené s poznáváním přírody a výchovou dětí k její ochraně. Počet dětí navštěvující tento kroužek každým rokem přibývá, v roce 2017 stoupl jejich počet na 35. Za svou činnost v uplynulém roce byl rybářský kroužek pod vedením Aleše Halusky vyhodnocen jako nejlepší ve Středočeském kraji., Ke slavnosti se připojuje i místní organizace Českého mysliveckého svazu společně s lesnicko-dřevařskou společností KAISER s. r. o., která se, ve spolupráci s Českou zemědělskou univerzitou v Praze - Fakultou lesnickou a dřevařskou, stará o další program slavnosti - ukázku výcviku loveckých psů, představení dravých ptáků, ukázku vábení zvěře, loveckou hudbu v podání Podbrdských trubačů, výukový program - lesní pedagogika a další. , Jedná se o celodenní program, spojený s výlovem Sadoňského rybníka, prodejem živých ryb, rybích a zvěřinových specialit, doprovázený živou hudební produkcí. , Oba již uskutečněné ročníky se setkaly s neobvyklým zájmem veřejnosti nejen z Rožmitálu, ale z celého Podbrdska. Proto se město rozhodlo podpořit Myslivecko-rybářskou slavnost i v dalších letech a vytvořit tak další oblíbenou tradici místního regionu.","neschváleno RK","90000","60000","","66.66666667"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/033357/2018","Vydání publikace  ""Kapitán Otakar Jaroš: příběh hrdiny od Sokolova"" o osudu mělnického rodáka O. Jaroše s vzácnými nepublikovanými fotografiemi","Monografie „Kapitán Otakar Jaroše: příběh hrdiny od Sokolova“ přináší první ucelený pohled na osud mělnického občana a významného příslušníka československého zahraničního odboje Otakara Jaroše. Díky několika desítkám unikátních a nikdy nepublikovaných fotografií z jeho předválečného života ukazuje publikace pravou tvář mladého vlastence, člena Sokola, Junáka i sportovce, který se stal po druhé světové válce jedním z komunistických symbolů boje proti nacismu. V první části knihy je hlavní důraz kladen na život v Mělníku, autor připomíná i osud Jarošova vzoru, strýce, legionáře, generála Františka Konopáska popraveného v roce 1943 nacisty. Dále je v knize popsána vojenská kariéra Otakara Jaroše od absolvování akademie v Hranicích, po odchod do zahraničí a život v Sovětském svazu. Zvláštní důraz je kladen na jeho působení v československé jednotce v SSSR a bitvě u Sokolova. Druhá část knihy se věnuje poválečnému odkazu kapitána Jaroše, který je zároveň unikátním souhrnem všech různých spojitostí od pomníků až po názvy ulic prvního československého hrdiny Sovětského svazu. Účel použití dotace - Náklady spojené s vydáním knihy – sazba, grafika, autorská práva, tisk Samozřejmostí je uvedení loga kraje v knize a poděkování jako reklama + poděkování a pozvání představitelů kraje na slavnostní prezentaci knihy (křest v Mělníku) V příloze dodán seznam úspěchů, reference a ukázka unikátních fotografií, které budou v knize uvedeny.","neschváleno RK","70000","25000","","35.71428571"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/033367/2018","Tréninkové soustředění mladých hasičů na řece Berounce  osada Višňová ","vrámci soustředění bude  návštěva jednotky SDH Lubná  a Roztoky- v areálu  Višnová , bude uskutečněn nácvik požárního  útoku  a ukázky vystoupení.  nácvik štafety  4x60  a  4x100m,  útoku CTIF,   rozhazování a blaení hadic,   výlet  na hrad Křivolkát  a  výlet do Berouna. sportovní den  soutěže,  jízda na lodích,  potřebujeme stmelit nové družstvo ml. hasičů,  a zábavnou formou děti naučit vázání uzlů a první pomoci a naučit samostatnosti v přírodě.  druhy ohnů a rozdělávání ohně a jeho bezpečné udržování. Ubytování chatičky,  celodenní strava, pitný  režim,  PHM- doprava,   jízdné,  vstupné,  ceny a medaile,  toner, papír., zajištění  zdravotníka a pojištění","neschváleno RK","32000","30000","","93.75"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/033368/2018","Soustředění kolektivu  mladých hasičů z Lubné  na řece Berounce","Nácvik disciplín ze hry,, Plamen ,,  výlety do okolí ,  jízda na raftech,  den plný her, ukázky soutěží,  návštěva JSDH Lubná - nácvik pož. útoku  , výlet do Berouna, hry a soutěže,  ubytování, celodenní strava, pitný režim,  PHM Doprava a stříkačka,  Toner, papír,  hry v přírodě ,  medaile a ceny,  jízné ","neschváleno RK","32000","30000","","93.75"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/033389/2018","okresní netradiční  soutěž  mladých hasičů  v požárním  útoku  na řece  Berounce ,,  na památku  jejího  zakladatele ,, Josefa Cyruse st. ,,14 ročník","Je  to již  14 ročník  této soutěže.  Je to jedna z prvních soutěžích v roce 2018 , v požárním útoku na okrese Rakovník, které se zůčastnují kolektivy mladých hasičů  z okresu Rakovník  a okolí.  Soutěž se koná v areálu  kempu Riviéra , Zbečno u řeky Berounky,  Pžíprava areálu , sekání trávy a odvoz,  dovoz překážek a materiálu, kádě, základny, koberců, terčů, stanú, lavic a stolů,  terčů a aparatury a postavení a zajištění celého areálu.  zajištění stravy pro soutěžící a rozhodčí, a real. tým,  pitný režim ,  ceny, poháry a medaile. tisk pozvánek, plakáků a zajištění zdravotní služby.. PHM - doprava  a PHM stříkačka    jedná se o netradiční soutěž v požárním útoku rozdělenou do kategorií, Přípravka  3 - 6 let,  6 -  11 let,  11 - 15 let  a kategorie  smíšená -  ","neschváleno RK","32500","30000","","92.30769231"
"Pořízení vybavení pro sociální, kulturní, sportovní a vzdělávací aktivity","2018","FHT/PHT/033408/2018","Pořízení vybavení  multifunkční učebny","Cílem projektu je pořízení vybavení prostor (učebny) pro vzdělávací, kulturní a společenské aktivity. Učebna bude využívána pro společenské, kulturní, vzdělávací aktivity v , rámci formálního i neformálního vzdělávání, DVPP, seminářů pro žáky, , zaměstnance školy i veřejnost a zasedání SRPŠ. Cílem je úprava , materiálních (nákup nastavitelných stolů, ergonomických židlí, katedry a stolku pro mluvčího), prostorových a organizačních opatření odpovídajících cílům aktivit, jejich povaze. Hlavními požadavky proto jsou mobilita nábytku , (s ohledem na stabilitu), výšková nastavitelnost stolů, možnost změny , uspořádání dle výuky individuální, skupinové, frontální, odolnost , povrchové úpravy. Pro úsporu prostoru při změně uspořádání , stohovatelné. Požadována je minimálně pětiletá záruka, s výjimkou , mechaniky stolu. Veškeré žákovské součásti dodávky musí být , certifikovány dle EU ČSN EN 1729. Vybavení bude pořízeno na základě , výběrového řízení dle platných zákonných předpisů. VŘ a plnění na , základě uzavřené smlouvy proběhne v období 3. dubna 2018 - 30. června , 2018 přičemž cílové aktivity sociálního, kulturního a vzdělávacího , charakteru budou probíhat po období následujících let. Podrobnější specifikace je přílohou.","neschváleno RK","287980","100000","","34.72463366"
"Pořízení vybavení pro sociální, kulturní, sportovní a vzdělávací aktivity","2018","FHT/PHT/033415/2018","Pořízení materiálového vybavení na činnost klubu TJ TRUB IN, z.s.","Obec Trubín je velmi rychle rozvíjející se místo, kde se geometrickou řadou zvyšuje počet obyvatel, hlavně rodin  s dětmi. Náš klub podporuje volnočasové, sportovní a tvořivé aktivity. Klub vznikl již v roce 2012, ale z důvodu odstoupení předsednictva byla činnost klubu přerušena. Pořádání akcí a činnosti probíhalo v době přerušení pod záštitou obce (tvořivá odpoledne, dětský den atd.). V této chvíli se na těchto akcí budeme podílet. Se svými členy se zabýváme podporou hlavně dětí a mládeže a vyplnění jejich volného času. V roce 2017 bylo za podpory Středočeského kraje vybudováno multifunkční hřiště. Toto hřiště je pro náš velkým přínosem, protože můžeme děti, mládež i dospělé (nejen členy) učit základům různých sportů a sportovat. Na tuto činnost potřebujeme materiální vybavení sportovního charakteru. Tvoření probíhá v prostorách místního  obecního úřadu pod dohledem zkušených vedoucích a rodičů. Na tuto činnost potřebujeme pořídit dostatečné množství materiálu pro tvoření od nejmenších po největší. Požadované hry jsou vybrány pečlivě, na doporučení hlavních vedoucích táborů. Tyto hry zvyšují postřeh, trénují bystrost, paměť a vlastní uvažování a rozhodování. Hry jsou pro různé věkové kategorie.   ","neschváleno RK","90845","86302","","94.99917442"
