"Oblast podpory","Rok dotačního titulu","Číslo žádosti","Název projektu","Popis a způsob realizace akce/projektu","Stav žádosti","Celkové náklady","Celková požadovaná dotace celkem v roce 2018","Proplacená dotace (Kč)","Podíl celkové požadované dotace k celkovým nákladům"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/033424/2018","Mistrovství ČR v mažoretkovém sportu Stochov 2018","V roce 2018 se jedná už o 11.ročník pro město i kraj významné sportovně společenské akce, ve které se prolíná spolupráce organizací, které ve městě pracují - Sokol Stochov, Sokol Kladno, Kulturní zařízení města Stochov a Technické služby města Stochov. Tato akce je hodnocena porotou svazu mažoretek jako jedna z organizačně nejlepších soutěží v ČR. Akce se koná opět ve sportovní hale Stochov. Vybírá se účastnický poplatek od soutěžících, který pokryje stravné a ubytování. Finanční příspěvek, který bychom chtěli získat od Středočeského kraje by byl účelový - na technické zabezpečení - jeviště, ozvučení, nájem haly apod. ","schváleno RK","145000","70000","40000","48.27586207"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/033330/2018","Jojo Cup - 3. ročník gymnastické soutěže TeamGym ","Jojo Cup je dvoudenní týmová soutěž gymnastických oddílů z celé České republiky. Jedná se o závod na akrobacii a trampolíně bez přeskokového nářadí a přes přeskokové nářadí pro děti a mládež ve věku 5 – 18 let., V letošním roce se jedná již o 3. ročník. Závod navštíví cca 50 družstev po 6 dětech, celkem tedy okolo 300 dětí. Závod je rozdělen do 2 kategorií, jedna je pro určena pro cvičence z všestrannostní gymnastiky, druhá pro mládež (dívky i chlapce) zabývající se závodní gymnastikou. Tímto chceme zapojit do závodů i děti, které cvičí jednou nebo dvakrát týdně. Zároveň chceme v rámci této soutěže podpořit týmový aspekt, který je u gymnastických sportů často opomíjený., Závod bude probíhat ve specializované gymnastické tělocvičně v Dobřichovicích., Postup pro realizaci projektu bude následující:, 1.	Připravení propozic závodu (již zrealizováno), 2.	Propagace do oddílů, zveřejnění na webu České gymnastické federace (TeamGym) – zrealizováno, 3.	Zajištění organizátorů, rozhodčích, technické čety, výpočetní komise, hudební režie, fotografa/kameramana, 4.	Zajištění vypůjčení nářadí a dopravy, 5.	Zajištění techniky, diplomů, medailí, cen pro vítěze, 6.	Pozvání zástupců místní samosprávy a regionálního tisku, propagace soutěže, 7.	Zpracování registrací a vyhotovení harmonogramu soutěže, 8.	Zajištění rozhodčích a hlavní rozhodčí, 9.	Samotná realizace soutěže, 10.	Výstupy z akce (výsledky, prezentace na webu, facebooku, ČGF, foto a videodokumentace, články v regionálním tisku), ","schváleno RK","151000","96000","50000","63.57615894"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/033391/2018","Soutěž  hystorických mopedů  okresu Rakovník a okolí  , vyráběných v  Rakovníku  10 ročník,  pořádá  SDH Petrovice  v letošním roce na počest zemřelého vroce  2016 zakladatele této soutěže starosta sboru  p. Bedřich chvátala.","Jedná se o  vzpomínku  závod hystorických mopedů , které se vyráběly v našem okresním městě v Rakovníku.   a k tomu  přidáváme i soutěž Pionýrů.., zajištění soutěže,  zdravotník,  tratoví komisaři,  vyznačení  tratě,  zajištění  označených doprovodných vozidel,  ,  vyhodnocení soutěže,, vyhodnocení  nejlépe upravených strojů,    strava,  nealkoholické nápoje,  ceny do soutěže,  medaile  a putovní  pohár..PHM - doprava, plagáty, pozvánky,  hudba.","schváleno RK","16000","15000","15000","93.75"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/033327/2018","Winter Gasshuku Benešov 2018","Jedná se mezinárodní víkendové Gasshuku tradičního karate-dó a ostatních bojových umění, jehož součástí je společenský večer za účasti mnoha zástupců různých bojových umění z různých států (např. Anglie, Rakousko, Slovensko, ...). Gasshuku bude probíhat pod vedením světově uznávaných senior-instruktorů Paul Nolan (7. dan), Peter Galer (7. dan), Raoul Vogel (7. dan) a hlavních instruktorů v ČR (Jaroslav Kulik 5.dan a Vlastislav Běhoun 5. dan). Během Gasshuku dochází k propojení různých věkových kategorií a různých stylů cvičení při stejném cíli, cíleno hlavně na děti a dospívající. Očekávaná účast cca 200 - 300 účastníků.","schváleno RK","172112","100000","20000","58.10170122"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/033335/2018","Letní slavnosti v Rožďalovicích","V rámci projektu budou uspořádány letní slavnosti na náměstí v Rožďalovicích. Na slavnostech vystoupí Michal Nesvadba, Eva a Vašek, Těžkej Pokondr a skupina Jelen. Pro děti bude připraven speciální zábavný program např. skákací hrady a malování na obličej. Dále bude na náměstí umístěno cca 30 jarmarečních stánků s různým sortimentem výrobků a občerstvením. Předpokládaná účast na akci je 1500 návštěvníků. Organizaci akce zajistí město pomocí svých zaměstnanců a brigádníků. Žádost je zaměřena na částečnou úhradu výdajů na technické zabezpečení akce a úhradu hudebních vystoupení.","schváleno RK","514014","200000","100000","38.90944605"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/033338/2018","DEN S ČESKOU KRÁLOVNOU","DEN S ČESKOU KRÁLOVNOU je dnes již tradiční kulturní akcí, která nemá v okolí konkurence. První slavnost se uskutečnila již v roce 2003 při příležitosti 545. výročí korunovace Johany z Rožmitálu českou královnou, a protože se setkala s velkým ohlasem, rozhodli jsme se, že slavnost uskutečníme každý rok., Město Rožmitál pod Třemšínem má bohatou historii a je spojeno s mnoha slavnými jmény, od Jetříška z Buzovic, české královny Johanky, Jaroslava a Zdeňka Lva z Rožmitálu, Jakuba Jana Ryby, spisovatelů R. R. Hofmeistra a K. J. Beneše až po houslového virtuose Václava Hudečka., Prostřednictvím těchto osobností a významných výročí oživujeme historii našeho města každoročně na letních slavnostech, které přitahují stále více návštěvníků, ale i těch, kteří se dobrovolně podílejí na její realizaci. Jedná se o nejvýznamnější kulturně historickou akci okresu Příbram., Slavnostní den začíná tradičně v 10.00 hodin velkým jarmarkem lidových řemesel., Skupina historického šermu ROSENTHAL, jejíž členové tvoří doprovod královny, připravují v zámecké zahradě středověké hry pro děti a jejich vystoupení patří vždy k vyvrcholení programu., Po celé dopoledne je především pro děti připraven pestrý program, své místo si na slavnosti našli i chovatelé drobného zvířectva., Hlavní program celého dne začíná ve14.00 historickým průvodem městem v čele s královnou Johankou. Královnu pravidelně vítají chlebem, solí, zpěvem, hudbou a tancem žáci a učitelé místních škol a Základní umělecké školy. Stalo se tradicí, že královnu přichází pozdravit starosta města i starostové mikroregionu Třemšín., Každoročně uděluje královna Řád paní rožmitálské. Řád z rukou královny dostávají ženy, které ve svém životě působily pro blaho obce i jejích obyvatel. Slavnostní odpoledne pokračuje pestrým programem, který je určen všem věkovým kategoriím. Nechybí dobová hudba, kejklíři a komedianti, pohádky pro děti i pro dospělé, divadlo. V programu vystupují profesionální kumštýři a soubory, ale především místní ochotnici, zpěváci, rytíři, žáci a učitelé místních škol. Večer patří koncertním vystoupením profesionálních skupin., Cílem naší slavnosti je nejen oživení historie našeho města, ale i snaha aktivně zapojit do slavnosti co největší počet obyvatel. Na slavnosti tak vystupují členové místního divadelního ochotnického spolku, skupina historického šermu Rosenthal, žáci a učitelé Základní umělecké školy Jakuba Jana Ryby, Základní školy Jakuba Jana Ryby, Základní školy praktické, obyvatele města i Svazku obcí mikroregionu Třemšín a chovatelé drobného zvířectva. , Historická slavnost DEN S ČESKOU KRÁLOVNOU se v roce 2018 bude konat po šestnácté., Cílem je aktivní zapojení obyvatel celého mikroregionu. Chceme především mladé generaci zprostředkovat uvědomění si historického významu osobností, jejichž význam přesahuje rámec celého regionu i celého státu, v životě člověka i celé společnosti. Oživit a dále rozvíjet vztah k místní historii a minulosti vůbec s cílem zachovat paměť národa i příštím generacím. Upevnit vztah k rodnému městu, rozvíjet zodpovědnost a hrdost k místu, kde žijí., ","schváleno RK","227000","125000","70000","55.0660793"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/033343/2018","Velká cena Středočeského kraje ve střelbě ze vzduchových zbraní","Velká cena Středočeského kraje svým významem a rozsahem patří mezi největší střelecké soutěže ve Středočeským kraji, ale i v celé České republice. Je zařazena do celostátního kalendáře Českého střeleckého svazu jako soutěž I. kategorie (nejvyšší úrovně) a zároveň nominační pro reprezentaci. Závody se konají v sobotu 3.února 2018 a v neděli 4.února 2018 Poděbrady Kluk.","schváleno RK","115000","65000","50000","56.52173913"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/033348/2018","Karnevalové reje na Domečku v rámci oslav 700. výročí Vlašimi","          Pracovníci Městského domu dětí a mládeže ve Vlašimi se svými programy připojují k významným oslavám 700 let založení města Vlašimi.,           Prvním počinem bude uspořádání Karnevalových rejů pro děti a mládež. Největší se uskuteční v Kulturním domě Blaník, bude to karneval pro širokou veřejnost a s maximální prezentací činnosti MěDDM, tento se uskuteční 21.1.2018.,           Druhý karneval bude uskutečněn pro Základní školu Sídliště Vlašim, tento se bude konat 29.1.2018 a bude se konat na ledě, což bude pro děti něco nového a jistě zajímavého, jedná se o pilotní projekt, pokud se ujme, rozšíříme na led v příštím roce i některé další karnevaly.,           I pro druhou Základní školu Vorlina se uskuteční karnevaly, a to hned dva, protože by se všechny děti do tělocvičny ve škole nevešly. Karnevaly se budou konat dne 6. a 7. 2. 2018.,           Nejvíce náročný karneval bude bezesporu ten, který se připravuje pro ZŠ Březinská, kam dochází děti se zdravotním postižením, doprovázené asistenty a přijíždí sem i děti z ústavu z Odlochovic, který je odloučeným pracovištěm této základní speciální školy. Tyto děti se na karneval těší celý rok a dlouze o něm vyprávějí. Tento se uskuteční v prostorách „Domečku“ 8.2.2018, kde vytváříme dětem domácké prostředí a ony se u nás dobře cítí., ,             Pevně věříme ve finanční pomoc Středočeského kraje, neboť akce jsou to velice organizačně náročné a je třeba velké množství pořadatelů a ceny do soutěží jsou důležité, neboť se karneval velice oživí., ","schváleno RK","60000","48000","48000","80"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/033349/2018","Turnaje fotbalových nadějí ročníků 2009 a mladších - 3. ročník na Domečku","            Pro naše malé fotbalisty pořádáme spoustu fotbalových utkání, soustředění a turnajů. Oblíbeným a zdá se, že i tradičním bude TURNAJ FOTBALOVÝCH NADĚJÍ ROČNÍKŮ 2009 A MLADŠÍCH, letos to bude již 3. ročník. Budeme jej pořádat v hale Sporthotelu Vlašim dne 27.1.2018. ,             Registrovaly se týmy z SK Slavia Praha, Sparta Kutná Hora, Viktoria Vestec, FC Slovan Havlíčkův Brod, FK Pelhřimov a samozřejmě, že bude hrát domácí  oddíl FC Sellier a Bellot Vlašim, jehož všichni členové jsou členy našich zájmových kroužků.,             Tento turnaj je hojně navštěvován veřejností, která kvituje práci trenérů se začínajícími fotbalisty, která je velice důležitá pro rozvoj osobnosti a vychovává ke správným návykům a sportovnímu vyžití s podporou zdravého životního stylu dětí. , ","schváleno RK","30000","24000","24000","80"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/033358/2018","Podpora šachových kroužků","PODPORA ŠACHOVÝCH SOUTĚŽÍ  ,              ,         V roce 2018 bude Městský dům dětí a mládeže pořádat čtyři šachové turnaje a  na dva z nich si  dovolujeme požádat o dotaci z Fondu hejtmana., 1.	KRAJSKÝ PŘEBOR V ŠACHU DĚTÍ DO 8 LET, -	Bude uspořádán 10.2.2018 ve Spolkovém době v Pravoníně, kde máme pronajaté prostory a provozujeme zde 10 šachových kroužků, -	Turnaj je otevřený pro děti narozené 2010 a mladší, -	Očekávaná účast kolem 60 dětí z celého Středočeského kraje, -	Potřeba rozhodčích: 4 a 6 dalších spolupracovníků,          Turnaj těchto nejmenších dětí je velice důležitý, v některých případech je to první start na soutěžní úrovni. Je třeba malé šachisty motivovat. Na turnaji navodit příjemnou atmosféru a také je odměnit, aby na svůj první turnaj měli ty nejhezčí vzpomínky. Finanční náročnost je značná. Jsou třeba poháry, medaile a diplomy pro tři nejlepší hochy a tři nejlepší dívky, nejmladšího účastníka a nejmladší účastnici. Dále pak nejlepší tři účastníky ročníků 2010, 2011 a 2012. Dále pak věcné ceny pro všech 60 účastníků, pro vyhodnocené ceny hodnotnější. , 2.	TURNAJ RODINNÝCH DVOJIC, -	Turnaj se uskuteční 24.2.2018, -	Soutěží rodinné dvojice, tzn., že hrají rodiče, či prarodiče se svými dětmi, resp. vnoučaty, rodiče spolu, prarodiče spolu atd., -	Jedná se již o 10. ročník Rodinných dvojic, a proto bychom chtěli mít turnaj co nejlepší, -	Je to nejnáročnější turnaj na organizaci a jeho zajištění, -	Hraje i 66 dvojic, tj. 132 šachistů, -	Vyhlašují se nejúspěšnější dvojice podle výkonnosti, nejmladší dvojice, nejstarší dvojice atd., -	Na tomto turnaji je nutné obsadit 4 rozhodčí a dalších 12 spolupracovníků, -	Jedná se o velice žádaný, výchovný a nejhezčí šachový turnaj na krajské úrovni, je vždy velice vysoce hodnocen a sjíždí se na něj soutěžící z celé republiky, -	Propozice jsme zveřejnili 1.1.2018 a již je kapacita beznadějně naplněna a registrujeme již 10 náhradních dvojic, , ","schváleno RK","53400","45000","45000","84.26966292"
